epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.06981352716684341,5.049313068389893,0.20828793942928314,3.9995391368865967
1,0.2252223938703537,4.060019493103027,0.2943098843097687,3.578974723815918
2,0.31716182827949524,3.6286780834198,0.4462415277957916,3.022592306137085
3,0.3840385377407074,3.3239192962646484,0.46949636936187744,2.8937556743621826
4,0.43325158953666687,3.116831064224243,0.5730327367782593,2.5124025344848633
5,0.47034671902656555,2.952554702758789,0.5665381550788879,2.5239789485931396
6,0.5024093389511108,2.8331289291381836,0.5645269155502319,2.5354268550872803
7,0.5238794684410095,2.742586612701416,0.6266655325889587,2.305884838104248
8,0.5455063581466675,2.664475917816162,0.5959104895591736,2.3996152877807617
9,0.5628849267959595,2.5967295169830322,0.6703259944915771,2.176795721054077
10,0.5758439898490906,2.549982786178589,0.65067458152771,2.2276525497436523
11,0.5874914526939392,2.5002353191375732,0.6092767715454102,2.36742901802063
12,0.5987682342529297,2.4653427600860596,0.6724629402160645,2.1550846099853516
13,0.6089900732040405,2.4304003715515137,0.665507435798645,2.187959671020508
14,0.6154482364654541,2.4048101902008057,0.7046425938606262,2.052443742752075
15,0.15770414471626282,4.087854862213135,0.6356322765350342,2.402601957321167
16,0.21996179223060608,3.680243492126465,0.6346685886383057,2.365912914276123
17,0.25095516443252563,3.5508952140808105,0.6644598841667175,2.276394844055176
18,0.2676779329776764,3.482236623764038,0.6519735455513,2.281480550765991
19,0.2861969769001007,3.4160869121551514,0.6766529679298401,2.219212293624878
20,0.3002965450286865,3.3739521503448486,0.670242190361023,2.2025437355041504
21,0.3089216351509094,3.3360302448272705,0.6731752157211304,2.1922414302825928
22,0.31861600279808044,3.2981152534484863,0.6860806345939636,2.16581392288208
23,0.3247177302837372,3.274991512298584,0.6915277242660522,2.1510214805603027
24,0.33703523874282837,3.2395572662353516,0.6924495100975037,2.1314449310302734
25,0.34049955010414124,3.2312028408050537,0.7002429962158203,2.112966775894165
26,0.34916743636131287,3.196638345718384,0.6871281266212463,2.1278231143951416
27,0.3520472049713135,3.1723811626434326,0.7068633437156677,2.0805304050445557
28,0.3618698716163635,3.1505331993103027,0.6982737183570862,2.0931766033172607
29,0.3675153851509094,3.133974313735962,0.7189726233482361,2.0533459186553955
30,0.37431567907333374,3.1151773929595947,0.7115980982780457,2.0469391345977783
31,0.3805742561817169,3.1005361080169678,0.7052292227745056,2.0753400325775146
32,0.3844377398490906,3.0848968029022217,0.7213609218597412,2.025263547897339
33,0.387645423412323,3.0663349628448486,0.7112628817558289,2.0564441680908203
34,0.39159443974494934,3.055243492126465,0.7227436304092407,2.0208232402801514
